job_title,company_name,rating,experience,salary,location,job_description,skills
Senior Expert Python Developer,DATATERRAIN LTD,4.2,8-13 Yrs,Not disclosed,Chennai,Bachelors degree in Computer Science or Proven experience as a Python Developer . Stron...,"Selection process,Quality standards,data science,Django,Web development,Cloud,Process quality,Application software"
Marketing Platform Auto Analyst,Accenture,4.0,3-5 Yrs,Not disclosed,Mumbai,Skill required: Marketing Operations - Adobe Campaign ClassicDesignation: Marketing Pla...,"javascript,sql,quality assurance,marketing analytics,marketing operations,digital marketing,email marketing,google adwords"
Senior Full Stack Developer (Java & React),Mastercard,4.0,6-9 Yrs,Not disclosed,Pune,Applies detailed understanding of Certificate and Signing Services applications and bus...,"Unix,C++,Hibernate,Automation,jQuery,Information security,Agile,HTML"
Java Developer,Capgemini,3.8,3-7 Yrs,Not disclosed,Chennai,"Good knowledge in Java 8, . Reactive Technology is must: Spring 5/ Spring Boot . Experi...","Java,Spring Boot,JPA,Microservices,Spring Security,Java Development,Development,Boot"
Marketing Associate,Echobooom,3.9,0-1 Yrs,1-4.5 Lacs PA,Guwahati, Job Title: Brand Ambassador (Sales Executive)Location: GuwahatiKey Responsibilities:Br...,"marketing,bba,Brand Building,Sales,Promotions,Sales And Marketing,bms,Sales Lead Generation"
Java Developer,Synechron,3.6,5-7 Yrs,Not disclosed,Bengaluru,Education Qualifications : Any Graduate or Post Graduate.  Bachelors degree in Computer...,"Automation,Java web services,XML,Consulting,XSLT,JSON,Agile methodology,Investment banking"
Embedded Engineer EE,GT Silicon,,3-8 Yrs,Not disclosed,Kanpur,Must have experience of working with microprocessors & microcontrollers based low power...,"development,c,usb,android,communication protocols,developing,gps,spi"
Digital Marketing Trainee / Executive,Upbrighter Services,4.8,No fixed duration,Unpaid,Mohali,,
Influencer Marketing Associate,Nxtwave Disruptive Technologies,3.8,0-1 Yrs,4-5 Lacs PA,Chennai,"Skills Required: . Ability to plan, execute & monitor multiple marketing campaigns(Mult...","Negotiation,Campaign Planning,Convincing Power,Organization Skills,Influencer Marketing,Communication Skills,Presentation Skills,Time Management"
Marketing Executives,One Events,,0-2 Yrs,Not disclosed,Gurugram,One Events is looking for Marketing Executives to join our dynamic team and embark on a...,"digital,digital marketing,digital content,marketing strategies,branding,business development,media,flyers"
Senior Embedded Engineer,Versa Drives,4.4,8-13 Yrs,Not disclosed,"Madurai, Tiruppur, Salem, Chennai, Tiruchirapalli, Coimbatore","Experience in control algorithm design PI, PID . Experience in code version control sys...","Embedded C,C++,Interpersonal skills,Version control,Analytical,Ethernet,PID,Technical architecture"
Content Marketing Executive,Simran Shri Shri International,2.0,0-3 Yrs,Not disclosed,Noida,The successful candidate should also be detail-oriented and committed to meeting tight ...,"Content management,Publishing,Management systems,Wordpress,SEO writing,HR,Creative writing,SEO"
Power BI Developer - DAX - Chennai (Parrys corner) - office job,Team Plus Staffing Solution,,2-4 Yrs,4-7 Lacs PA,Chennai(Parrys),"BI software development, and present Power BI reports. Power BI reports and dashboards ...","Power Bi,Data Visualization,Dax,Data Modeling,Bi,Modeling,Data,Office"
Marketing Executive,Novice Healthcare,,0-1 Yrs,Not disclosed,"Chomu, Jhunjhunun",Novice Healthcare Pvt ltd is looking for Marketing Executive to join our dynamic team a...,"visualforce,branding,sfdc,business development,advertising,triggers,tracking,dashboards"
